Comment,positive/negative
Anee eya hari hodai,POSITIVE
Oya nam mara athal akki,POSITIVE
Api nihathamaniwa jiwath wenna ona,POSITIVE
Ane manda monawa kiyannada kiyala,POSITIVE
respect karanawa,POSITIVE
mahath wela nisa lassanai,POSITIVE
Meya mehema hitiyata meyage kisima loku kamak ne vage oya harima cute akki,POSITIVE
Oya kettuvata iddi lassanai,POSITIVE
lassanaei ane,POSITIVE
lassanai manika,POSITIVE
Nanga hinawa lassanai,POSITIVE
Ane charu akkagei athmi akkigei lassana,POSITIVE
Tiya thamai lassanama,POSITIVE
Mara lassanai bn,POSITIVE
Ammoo lassanai,POSITIVE
Oyala set eka nm maru,POSITIVE
Tiya maru anee,POSITIVE
Tiyage dance eka nm lassnai Charu akkith lssanai,POSITIVE
Athmi akki,POSITIVE
okkoma lassnai ane maru ane marama lassnai marama funny,POSITIVE
E adum nm lassanai godak,POSITIVE
Charui Tiyai lassanai,POSITIVE
anee oyala shoi,POSITIVE
Very beautiful nangiyo,POSITIVE
Lassanai nangi,POSITIVE
Harima lassanai patiyoo,POSITIVE
Harima lassanay,POSITIVE
Patta mama oyata adarei,POSITIVE
lassnai nangi oyage nama mokakda,POSITIVE
Godak lassanai,POSITIVE
Mama nangita adarii,POSITIVE
mage manika,POSITIVE
Lassanai patiyo,POSITIVE
Lassanai nangiyo,POSITIVE
Lassanai dannatama devi pihitai,POSITIVE
"Harima lassanai 
 Teruwan saranai",POSITIVE
Budusaranai,POSITIVE
Adarei hamadamath,POSITIVE
Lassanai akkiyoo,POSITIVE
Lassanai lassanai lassanai balanamai hitene ane tunuruwan saranai,POSITIVE
Ayye oya gadak lassanai,POSITIVE
ammo vidu aiye oyanam niyamai,POSITIVE
maru jayawewa,POSITIVE
oyage hinawa lassanai aiya,POSITIVE
Widu aiyage hinawa lassanai,POSITIVE
Adoo malli ubanam maru oii,POSITIVE
Ado viduge hinwa bn,POSITIVE
Viduge hinawa maru ane,POSITIVE
Oyage hinava lassanaii viduu,POSITIVE
Iassanay Akki,POSITIVE
Atthatama lassanai,POSITIVE
Lassanai akke,POSITIVE
Bohoma lassanai,POSITIVE
lassnai akki yoo,POSITIVE
athathatama lassanai,POSITIVE
Lassanai akkiyo,POSITIVE
Akke lassanai kalisama,POSITIVE
Lasanai ninoka akka,POSITIVE
Budu saranai oyata,POSITIVE
Oya awanka kenek akke,POSITIVE
Supiri ane oya,POSITIVE
Hamadama sathutin inna oyata waradinna na,POSITIVE
adarei nanga,POSITIVE
Budusarani oyata,POSITIVE
Pau oya lassanai sathutin inna,POSITIVE
Oya supiri akke,POSITIVE
lassanai habai,POSITIVE
Lassanai akke oya Mona prasna tibunath satutin inna kenek,POSITIVE
lassnai akkiyo,POSITIVE
Katahada hari lassanai ahinsaka asawane oya,POSITIVE
harima lassani adarei,POSITIVE
oya harima wasanawanthai,POSITIVE
Hoda lamayek,POSITIVE
Maru akkiyo adarei aswahak nam wadinna epa,POSITIVE
adarei akkiyo,POSITIVE
Voice aka lassanai,POSITIVE
patta lassanai song eka lassana katahadak thiyenawa oyata akki,POSITIVE
lasssana katahadak thiyenne oyata,POSITIVE
Kata hada lasssanai,POSITIVE
hari lassanai akki,POSITIVE
maru katahada,POSITIVE
Ikman suwa akke Me dawas wala,POSITIVE
Ikmanin sanipa wewa,POSITIVE
Theruwan saranin ikman suwaya labewa,POSITIVE
ikmanata hoda wenna akkeee budusaranai oyta,POSITIVE
Ikmanata saneepa wenna,POSITIVE
ikmanata hoda wei oyata akke,POSITIVE
Lassani duwa,POSITIVE
Ana lassanai,POSITIVE
Nodakin me wage harak bolada wenna hadanva uparimyen ath wade chora wenva,NEGATIVE
Mala samayegn,NEGATIVE
Nodakin vikara,NEGATIVE
Nodakin thopi thoththa baba,NEGATIVE
Pissu onthuwak,NEGATIVE
Maha padi haniyek,NEGATIVE
Edakin mekipada show,NEGATIVE
Dinthige pacha seen balan ekm wenm hobby ekk krn inn ay ko,NEGATIVE
Hoda wade mekit padashow eka nondi wenw hithn inne sangeeth pissu moda hutthi,NEGATIVE
Munta pissu idakin munwa gennana unta gahanna one mulinma,NEGATIVE
yako ochchara minissu chora karanna epa mn kiyanne oya comments daan aayata ubala maha waal ne bn,NEGATIVE
Pissu netthan shok,NEGATIVE
Mala kolan,NEGATIVE
MaIa harakiyak,NEGATIVE
mekita pissu moda mongol huttak,NEGATIVE
Pandithakama namai thiyana gonkama,NEGATIVE
Gon huttiyek,NEGATIVE
ammoo hoda vade mekita,NEGATIVE
