comment,positive/negative
දිනිති ගේ එකටකාරකමට මම හරි කැමකියි එයා ගොඩක් හිත හොද කෙනෙක් මම හරිම අාදරෙයි දිනිති ඔයාට බුදුසරණයි,POSITIVE
මොනා උනත් මම නම් හරි ආස නිලියක් මෙයා දැන් ස්වර්නවාහිනියෙ යන බයිස්කෝප් කතාවෙ රඟපාන චරිතෙ මෙයාට රඟපාන්න දෙයක් ඇත්තෙත් නැති තරම්,POSITIVE
මෙහෙමයි ලොකේ එක එක විදියේ මිනිස්සු ඉන්නවාඉතිම් මෙයා නරක උනට මෙයගේ හොද පැත්තකුත් ඇති එවත් හොයලා බලලා දාන්නකෝ,POSITIVE
මං ආදරේ කරන කෙල්ලෙක් ඒකි කියන්න ඕන දේ කෙලින් කියනවා,POSITIVE
හරිම දක්ෂ කාන්තාවක් ආඩම්බර වෙන්න බොහෝ තියෙනවා ගැන ලබා ගෙන දේවල් පිළිබඳව ආඩම්බර කතා කිරීම කයිවාරු ලෙස දැකීම පැහැදිලි ඊර්ෂ්‍යාව,POSITIVE
අර කොල්ල නම් අහින්සක එකෙක් වගෙ,POSITIVE
නිහතමානී,POSITIVE
නිවේදකයාට බොහොම ස්තූතී,POSITIVE
"දිනිති ,ලස්සනයි ,ඇක්ෂන් සමහරුන්ට දිරවන්නෙ නැහැ, ඒක ඉරිසියාව ,,එයා අනවශ්‍ය විදියට දඟලන කෙනෙක් නෙමෙයි දැඟලුවත් ඒ එයා ,කාටවත් අමාරු වෙනඑකට එයා පලි නැහැ,,,",POSITIVE
හැබැයි දැන් එයා ගොඩක් හොඳ කෙනෙක්,POSITIVE
දැන් නමි දිනි හොදයි,POSITIVE
මම නමි අාස නිලියක්,POSITIVE
නියමයි සහෝදරයා,POSITIVE
ලස්සනයි කේල්ලේක්නේ,POSITIVE
ඉස්සර ලස්සනයි,POSITIVE
අනෙ ටියා අක්කි ශෝයි,POSITIVE
ටියා ශෝක් අනේ,POSITIVE
ආත්මි අක්කියි චාරු අක්කිත් ලස්සනයි,POSITIVE
චාරු ලස්සනයි,POSITIVE
ටියා අක්කි මන් ආසයි ඔයාට,POSITIVE
අනෙ එක හරිම ලස්සනයි,POSITIVE
ආත්මි අක්කා තාමයි ලස්සනම,POSITIVE
ටියා තමා ලස්සන ම,POSITIVE
හරිම ලස්සනයි,POSITIVE
ලස්සනයි ඒත් අභියි පවියි නෑනේ,POSITIVE
ආත්මි අක්කගෙ ලස්සන,POSITIVE
මම නම් ඔය දෙන්නට හරි ආදරෙයි,POSITIVE
දිනිති ලස්සනයි,POSITIVE
දිනිති දැන් ලස්සනට කතා කරනවා තමන්ගෙ ගමන යනවා,POSITIVE
මාරම ලස්සනයි,POSITIVE
නංගිගේ වොයිස් එක ලස්සනයි එයාත් ලස්සනයි,POSITIVE
එයාගෙ වොයිස් එක ලස්සනයි ඊටත් වඩා ඒ නංගී ලස්සනයි,POSITIVE
ඒ වොයිස් එක මාරම ලස්සනයි නංගි,POSITIVE
හරිම ලස්සනයි,POSITIVE
ලස්සනයි සින්දුව,POSITIVE
ඒදෝනි නම් ලස්සනයි,POSITIVE
හරිම ලස්සනයි නංගි,POSITIVE
කටහඬ හරිම හුරුබුහුටියි ලස්සනයි,POSITIVE
ලස්සනයි අනේ ඔයා ත් ලස්සනයි සින්දුවත් ගොඩක් ලස්සනයි අනේ,POSITIVE
ඔයාගේ voice එකයි song එකයි දෙකම ලස්සනයි,POSITIVE
ඔය නංගියි සින්දුවයි දෙකම ලස්සනයි කියන කට්ටිය කෝ,POSITIVE
අඩෙහ් ඒ කටහඩ පට්ට,POSITIVE
හරිම ලස්සනයි නංගී,POSITIVE
මෙහෙම සුන්දර මනාලියක් දැකල නෑ,POSITIVE
හරිම ලස්සන මනමාලි ඇය හරිම සිරියාවන්තයි මනමාල හරිම නිහතමානි දරැවෙක්,POSITIVE
මරු ඇත්ත ලස්සනයි,POSITIVE
ලස්සනයි සුභ අනාගතයක්වේවා බුදුසරණයි,POSITIVE
ලස්සනයි හැමදාම සතුටින් ඉන්න,POSITIVE
හරිම ආදරණීයි හැමදාම සතුටින් ඉන්න,POSITIVE
ලස්සනයී ඒවගේම ඒයාගේ අයියත් ලස්සනට නටනවා,POSITIVE
මාරම ලස්සනයි,POSITIVE
ඇත්තටම එයාලව කවදාවත් අමතක වෙන්නෙ නෑ හරිම ලස්සනයි හරිම ආදරණීය යි හැමදාම සතුටින් ඉන්න බුදු සරණයි දෙව් පිහිටයි පුතේ ඔයාලට,POSITIVE
කොහේවත් නොදැකපු ලස්සන නැටුමක්ඒකනං කවදාවත් අමතක වෙන්නේ නෑලස්සන කපල් එකක්,POSITIVE
මේ කෙල්ලගේ සිරියාව,POSITIVE
මාරම ලස්සනයි,POSITIVE
අනේ ඇත්තටම හරීම ලස්සන යුවලක් දැක්කම ආසයී සදාකාලික සතුට සැනසීම ලැබේවා,POSITIVE
හිනාව මරැ බන්,POSITIVE
අයියො ආදරෙයි මගෙ එකා,POSITIVE
ඒ අක්කගෙ හින්නාව තමා ලස්සනම,POSITIVE
